"Datos para la obtención de un factor de escalamiento debido a que la irradiancia real rebasa la escala del sensor de luz. Asol son datos de irradicancia medidos por la estación directamente bajo el sol, Asombra son datos medidos con la estación con sombra de cara al cielo, BSol son datos del sensor puesto al sol cubierto de una lámina que sirve de filtro.",,,,,,,
,,,,,,,
,A Sol,B Sol,A sombra,,,,
2020-12-18 06:35:24 CST,21,20,9,,,,
2020-12-18 06:49:57 CST,279,103,147,,,,
2020-12-18 07:04:29 CST,1073,252,565,,,,
2020-12-18 07:19:01 CST,2300,429,1110,,,,
2020-12-18 07:33:35 CST,4000,618,1836,,,,
2020-12-18 07:48:09 CST,6500,829,3579,,,,
2020-12-18 08:02:42 CST,10000,1385,5240,,,,
2020-12-18 08:17:18 CST,13500,2195,7000,,,,
2020-12-18 08:31:52 CST,17500,2650,9800,,,,
2020-12-18 08:46:25 CST,21500,3060,12000,,,,
2020-12-18 09:00:59 CST,26000,3892,14000,,,,
2020-12-18 09:15:33 CST,30000,4426,16000,,,,
2020-12-18 09:30:08 CST,34000,6514,17700,,,,
2020-12-18 09:44:44 CST,38200,8230,19300,,,,
2020-12-18 09:59:18 CST,42200,9370,20600,,,,
2020-12-18 10:13:49 CST,46200,9340,21850,,,,
2020-12-18 10:28:25 CST,50500,11059,22700,,,,
2020-12-18 10:42:57 CST,54200,12485,23600,,,,
2020-12-18 10:57:30 CST,57000,13155,24300,,,,
2020-12-18 11:11:57 CST,59500,13625,25000,,,,
2020-12-18 11:26:28 CST,61500,14015,25500,,,,
2020-12-18 11:41:02 CST,63000,14514,25900,,,,
2020-12-18 11:55:37 CST,64000,14995,26100,,,,
2020-12-18 12:10:11 CST,64500,15546,26300,,,,
2020-12-18 12:24:43 CST,64500,15785,26300,,,,
2020-12-18 12:39:16 CST,64000,15292,26100,,,,
2020-12-18 12:53:50 CST,63000,14947,25900,,,,
2020-12-18 13:08:21 CST,61500,14955,25500,,,,
2020-12-18 13:22:58 CST,59500,14602,25000,,,,
2020-12-18 13:37:26 CST,57000,13410,24300,,,,
2020-12-18 13:52:00 CST,54200,12676,23600,,,,
2020-12-18 14:06:31 CST,50500,12154,22700,,,,
2020-12-18 14:21:03 CST,46200,10132,21850,,,,
2020-12-18 14:35:31 CST,42200,8944,20600,,,,
2020-12-18 14:50:07 CST,38200,7974,19300,,,,
2020-12-18 15:04:32 CST,34000,7471,17700,,,,
2020-12-18 15:19:09 CST,30000,6306,16000,,,,
2020-12-18 15:33:38 CST,26000,5304,14000,,,,
2020-12-18 15:48:09 CST,21500,4524,12000,,,,
2020-12-18 16:02:39 CST,17500,3694,9800,,,,
2020-12-18 16:17:08 CST,13500,2769,7000,,,,
2020-12-18 16:31:38 CST,10000,1953,5240,,,,
2020-12-18 16:46:10 CST,6500,713,3579,,,,
2020-12-18 17:00:41 CST,4000,524,1836,,,,
2020-12-18 17:15:12 CST,2300,263,1110,,,,
2020-12-18 17:29:43 CST,1073,104,565,,,,
2020-12-18 17:44:16 CST,279,30,147,,,,
2020-12-18 17:58:45 CST,21,5,9,,,,
